method,block_size,ess_per_second,mean_rmse,rb_mean_rmse,block_within_precision_mass
block_precision_bfs,2,1614.1519098257475,0.08643749440178784,0.07152948697239221,0.18142445517328523
block_precision_bfs,4,2746.9579723994734,0.06590531781371879,0.04957215212383992,0.2409837825838348
block_precision_bfs,8,4818.603294064936,0.07638567299850675,0.05714184508027385,0.3455268221355472
block_precision_bfs,12,10214.913798838761,0.06451767719440595,0.04447588230298838,0.44304572246167356
block_precision_bfs,16,8093.188394478838,0.0886610877737286,0.06656814216558095,0.5473164705065215
block_random,2,1556.2059756756182,0.1063986514757222,0.09159277840361146,0.023248652870401103
block_random,4,3225.6180728511176,0.08319749575323006,0.06879103398542263,0.08245766550785562
block_random,8,5970.96496388606,0.09289943353887335,0.07652031405045062,0.207731088639874
block_random,12,10636.114100142178,0.06051386192554767,0.04420812007809197,0.29999854610518545
block_random,16,11319.202075215026,0.08039343912375795,0.060416023736855284,0.36172071122553806
block_topological,2,1629.6191456559952,0.08371045246160623,0.07041146411601075,0.021458496133036548
block_topological,4,3049.283638194454,0.10781364149587563,0.09337165865813017,0.10555396166788956
block_topological,8,6229.936863217015,0.08611000242410244,0.06881235970183566,0.2681859593989914
block_topological,12,11469.018274586435,0.08736499638490587,0.07162720307495664,0.39638526925433576
block_topological,16,12170.512087524703,0.07108676383313357,0.053551324435589485,0.49917201382136067
