graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,initial_state_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,ess_per_second,weighted_ess,weighted_ess_fraction,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,n_edges,graph_density,empirical_depth,observed_mean_depth,observed_mean_descendants,observed_mean_children,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
layered,single_site_gibbs,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.06267207200005487,386.7104355622151,257.442574218972,500.0,6170.378977766628,,,0.04646004568997414,0.06048498433278608,1.6008203581912792,,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,0.0,1.0,32.0,1.0,1.0,0.3064602885320704,,
layered,block_depth,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.020775483999955213,407.87211229957734,262.40751707572565,500.0,19632.37594370637,,,0.03578441567461725,0.07752493041956285,1.5725855417711236,,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,0.021500516867675006,0.978499483132325,4.0,8.0,9.0,0.3149920664130868,0.012921011847541877,0.007363009746348556
layered,block_topological,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.02132750600003419,419.2457887125785,225.97340679874833,500.0,19657.515919203415,,,0.051950079417388294,0.05785189997475323,1.4971167628460187,,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,0.04274622348100843,0.9572537765189916,4.0,8.0,8.0,0.3149875318307965,0.01757930794143918,0.0068749953933294255
layered,block_random,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.02290296900002886,410.4031591016959,246.17101333152885,500.0,17919.212094343697,,,0.03819119622028578,0.09288645644246736,1.6016483024712707,,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,0.2627648569142987,0.7372351430857014,4.0,8.0,8.0,0.2488392454111859,0.012166450352395594,0.007903510314650454
layered,block_precision_bfs,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.0624877520000382,440.6424814290492,269.51890696064044,500.0,7051.661602881471,,,0.051403682515890246,0.07828909222762949,1.503731684214874,,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,0.7244375482224629,0.27556245177753713,13.0,2.4615384615384617,8.0,0.18529265020934482,0.00614144867341306,0.003802988797208724
layered,rw_mh,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.004737534000014421,10.041663643257742,4.883658173415201,18.76089268591893,2119.597166632931,,,0.4660372645591852,0.452970349075887,9.831030199635661,0.23857142857142857,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,,,,,,,,
layered,mala_diag,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.01915591099998437,38.888656669034546,16.316738616140483,64.07430849571709,2030.1126200192866,,,0.21540837862202214,0.1976414462767865,4.150320124540335,0.9042857142857142,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,,,,,,,,
layered,likelihood_weighting_sis,0,36,4.0,,0.15,0.3,0.1,uniform,prior,4,32,0.0013694869999199,488.90172964022537,488.90172964022537,488.90172964022537,356996.2545601534,488.90172964022537,0.9778034592804508,0.05376494236760556,0.07550103240189397,1.5326071665037249,,3.656569290004456,0.019583942202247146,0.2904343919663358,0.0907258064516129,36,0.05714285714285714,4,1.5,0.75,0.5,,,,,,,,
layered,single_site_gibbs,0,36,4.0,,0.15,0.3,0.1,shallow,prior,4,32,0.06061766000004809,426.41388166547097,249.91921833110993,500.0,7034.482717827324,,,0.050728064930045634,0.048174467177845195,1.4028784675780022,,3.120919131451635,0.012366818258889115,0.271898086700203,0.06854838709677419,36,0.05714285714285714,4,0.75,6.5,2.25,0.0,1.0,32.0,1.0,1.0,0.24258304109985826,,
layered,block_depth,0,36,4.0,,0.15,0.3,0.1,shallow,prior,4,32,0.02106371600007151,426.5513156283225,274.29943349336577,500.0,20250.52538815442,,,0.05699447067102151,0.06848247790607487,1.4236886526110453,,3.120919131451635,0.012366818258889115,0.271898086700203,0.06854838709677419,36,0.05714285714285714,4,0.75,6.5,2.25,0.033374049890253235,0.9666259501097467,4.0,8.0,9.0,0.2568792874100701,0.01370201605931579,0.006448351541901734
