observation_strategy,method,correlation,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,0.4,395.26734766378644,14.64265884114056,10
deep,block_gibbs,0.45,377.90883868071984,19.837020083222043,10
deep,block_gibbs,0.5,341.06891284590574,24.703849870385227,10
deep,block_gibbs,0.55,332.81567469477125,30.117361053230823,10
deep,block_gibbs,0.6,313.6250230472575,34.92155409355496,10
deep,block_gibbs,0.65,277.87507681787577,27.97262327606602,10
deep,block_gibbs,0.7,251.8530958600191,21.154868646224173,10
deep,block_gibbs,0.75,226.69356964725858,43.29411156101472,10
deep,block_gibbs,0.8,223.02796117027856,43.771893433440795,10
deep,block_gibbs,0.85,228.39862691755397,55.24250714578002,10
deep,rw_mh,0.4,10.717762842941287,0.8973306038651152,10
deep,rw_mh,0.45,11.263555629293805,1.1981450740439028,10
deep,rw_mh,0.5,10.64635755841673,1.2371959503320027,10
deep,rw_mh,0.55,7.777654395225547,3.5530389656930357,10
deep,rw_mh,0.6,8.731431090495393,0.561401136865634,10
deep,rw_mh,0.65,11.32005779970629,3.671613061823264,10
deep,rw_mh,0.7,12.405222508615177,13.889964040175208,10
deep,rw_mh,0.75,12.93974125154682,6.25186065885621,10
deep,rw_mh,0.8,6.035218754923095,5.283044425886726,10
deep,rw_mh,0.85,11.969547917933568,8.575269373148236,10
deep,single_site_gibbs,0.4,408.96828352102926,14.573722764347554,10
deep,single_site_gibbs,0.45,375.0066328517688,20.52994479550717,10
deep,single_site_gibbs,0.5,349.1983173092475,24.41793319711279,10
deep,single_site_gibbs,0.55,335.314367753793,17.854778705583954,10
deep,single_site_gibbs,0.6,308.9074030572516,30.255617826576227,10
deep,single_site_gibbs,0.65,276.68815639714256,30.769660708563983,10
deep,single_site_gibbs,0.7,239.12140525133253,15.844149014181149,10
deep,single_site_gibbs,0.75,216.95750668866918,37.78949313560718,10
deep,single_site_gibbs,0.8,206.80941864303168,34.83100252424364,10
deep,single_site_gibbs,0.85,209.30922481378775,59.31068768441944,10
shallow,block_gibbs,0.4,382.48988607559534,28.615182310433784,10
shallow,block_gibbs,0.45,360.87578420189186,31.158794740794843,10
shallow,block_gibbs,0.5,342.18128884321965,37.160819832153805,10
shallow,block_gibbs,0.55,302.3792492970713,38.72900367336514,10
shallow,block_gibbs,0.6,296.27418982392635,40.163910646023346,10
shallow,block_gibbs,0.65,268.74077926994073,32.459538063094286,10
shallow,block_gibbs,0.7,228.36678369875116,30.192187873396897,10
shallow,block_gibbs,0.75,192.41831774636336,50.732830643788866,10
shallow,block_gibbs,0.8,198.90315166124165,46.86988638471384,10
shallow,block_gibbs,0.85,175.8972428122708,41.89015008717276,10
shallow,rw_mh,0.4,11.60467693417212,1.2818891273946609,10
shallow,rw_mh,0.45,10.271034445458694,1.367057140747227,10
shallow,rw_mh,0.5,10.3105568004665,1.3535137561903778,10
shallow,rw_mh,0.55,9.320863971986835,1.107234406845231,10
shallow,rw_mh,0.6,10.159380993183206,2.7219992857181334,10
shallow,rw_mh,0.65,9.449083955139606,1.5477974472862732,10
shallow,rw_mh,0.7,6.7154211908009085,3.850667655542793,10
shallow,rw_mh,0.75,8.593919074454798,1.4423605207110812,10
shallow,rw_mh,0.8,7.870953969258099,3.2050593070031206,10
shallow,rw_mh,0.85,14.346640764620759,11.985154542017654,10
shallow,single_site_gibbs,0.4,387.22702986770213,14.323511546920027,10
shallow,single_site_gibbs,0.45,377.25669555492067,26.52770770766751,10
shallow,single_site_gibbs,0.5,347.4253777000007,30.22618539219795,10
