observation_strategy,method,correlation,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,0.4,0.049111924687577434,0.004971347994812443,10
deep,block_gibbs,0.45,0.05798789948615424,0.011116134226799508,10
deep,block_gibbs,0.5,0.06205623975704636,0.023391958181617937,10
deep,block_gibbs,0.55,0.06037018970001869,0.013595990487963044,10
deep,block_gibbs,0.6,0.060687582504083015,0.01668353535231818,10
deep,block_gibbs,0.65,0.07746343763886017,0.02516342547228069,10
deep,block_gibbs,0.7,0.06942876253834575,0.028456839039387963,10
deep,block_gibbs,0.75,0.08662288968701078,0.03151580844324529,10
deep,block_gibbs,0.8,0.10292089225077099,0.03968501257288425,10
deep,block_gibbs,0.85,0.10320486389667767,0.06058098308375432,10
deep,rw_mh,0.4,0.44378221299190734,0.08613414422213683,10
deep,rw_mh,0.45,0.3722698405292874,0.142105512432329,10
deep,rw_mh,0.5,0.4205075248790946,0.11234043475022598,10
deep,rw_mh,0.55,0.36389197561302805,0.22799756634120877,10
deep,rw_mh,0.6,0.4658188937441457,0.13305653121518832,10
deep,rw_mh,0.65,0.31002441766369704,0.2139277692486274,10
deep,rw_mh,0.7,0.40982467902312125,0.2512555738593776,10
deep,rw_mh,0.75,0.12438151410097993,0.2017104136193401,10
deep,rw_mh,0.8,0.21831620821951675,0.2828465894938935,10
deep,rw_mh,0.85,0.3367669339836733,0.2542400875116783,10
deep,single_site_gibbs,0.4,0.05107339516931161,0.010082750308279625,10
deep,single_site_gibbs,0.45,0.05617413997151165,0.010986260412993146,10
deep,single_site_gibbs,0.5,0.057147927310969696,0.014447686814281635,10
deep,single_site_gibbs,0.55,0.05993557333875608,0.016433618820719507,10
deep,single_site_gibbs,0.6,0.06666944400794125,0.01295563139219992,10
deep,single_site_gibbs,0.65,0.07453471411302884,0.025280324223391996,10
deep,single_site_gibbs,0.7,0.06501865428462952,0.010187394325859056,10
deep,single_site_gibbs,0.75,0.0830770967276657,0.033506290572631124,10
deep,single_site_gibbs,0.8,0.08634165872091346,0.04590237251367137,10
deep,single_site_gibbs,0.85,0.10478256845761227,0.04712210234469532,10
shallow,block_gibbs,0.4,0.057706407688316495,0.01273966898472118,10
shallow,block_gibbs,0.45,0.06128088405214581,0.012139409329778052,10
shallow,block_gibbs,0.5,0.058629695569121495,0.018880094634385298,10
shallow,block_gibbs,0.55,0.05745115863234498,0.011943224484428097,10
shallow,block_gibbs,0.6,0.06930215818711333,0.01549886569906661,10
shallow,block_gibbs,0.65,0.06975817870495606,0.029804846950059586,10
shallow,block_gibbs,0.7,0.09829035339079147,0.04309242104964067,10
shallow,block_gibbs,0.75,0.13899413148747766,0.08906180284930448,10
shallow,block_gibbs,0.8,0.11188246624797207,0.04158987103640497,10
shallow,block_gibbs,0.85,0.11976458503230217,0.041340509055995546,10
shallow,rw_mh,0.4,0.39854857633740415,0.10111918576813084,10
shallow,rw_mh,0.45,0.4446460348768758,0.09673786396986658,10
shallow,rw_mh,0.5,0.42884178685834773,0.13501112951352556,10
shallow,rw_mh,0.55,0.48024572034835195,0.1457953741957341,10
shallow,rw_mh,0.6,0.4169055598555459,0.24938950688912953,10
shallow,rw_mh,0.65,0.6035346111108704,0.17226385590223459,10
shallow,rw_mh,0.7,0.4301164485641091,0.3220335990322292,10
shallow,rw_mh,0.75,0.5748076953174065,0.12301477046998274,10
shallow,rw_mh,0.8,0.35113019353640984,0.23509141012356366,10
shallow,rw_mh,0.85,0.30637820889607964,0.27701773174639965,10
shallow,single_site_gibbs,0.4,0.053991226222842026,0.015848314486048856,10
shallow,single_site_gibbs,0.45,0.05017661364844419,0.007295296347098267,10
shallow,single_site_gibbs,0.5,0.05761426633199138,0.015838410248602303,10
shallow,single_site_gibbs,0.55,0.0669228719520954,0.019196182774469297,10
shallow,single_site_gibbs,0.6,0.07220474243203882,0.01856694938682134,10
shallow,single_site_gibbs,0.65,0.08200218113363605,0.02217894661412237,10
shallow,single_site_gibbs,0.7,0.07689337132364157,0.024535091337180938,10
shallow,single_site_gibbs,0.75,0.10550121339230042,0.03812622108630247,10
shallow,single_site_gibbs,0.8,0.11385454364540881,0.0384231401203217,10
shallow,single_site_gibbs,0.85,0.15777468347567575,0.10427936071515037,10
uniform,block_gibbs,0.4,0.054373623291928,0.013908795665344136,10
uniform,block_gibbs,0.45,0.05842654154986467,0.012361665985186373,10
uniform,block_gibbs,0.5,0.0530081395381438,0.012402330670235204,10
uniform,block_gibbs,0.55,0.0630391290149365,0.019003974229942697,10
uniform,block_gibbs,0.6,0.0694486886063838,0.02004376332116761,10
uniform,block_gibbs,0.65,0.08758087575093951,0.025940149833621487,10
uniform,block_gibbs,0.7,0.07690372454463731,0.02695228892637235,10
uniform,block_gibbs,0.75,0.11266006845347257,0.05115692985514003,10
uniform,block_gibbs,0.8,0.09968680042591652,0.042076166765597126,10
uniform,block_gibbs,0.85,0.11691774633470522,0.0455761859706237,10
uniform,rw_mh,0.4,0.39989031666070707,0.14591495091654053,10
uniform,rw_mh,0.45,0.4177700301397647,0.07050337316243604,10
uniform,rw_mh,0.5,0.3454050294208457,0.05085771272348386,10
uniform,rw_mh,0.55,0.47347778512377864,0.17342935023773629,10
uniform,rw_mh,0.6,0.45392557334905026,0.17079488879033303,10
uniform,rw_mh,0.65,0.5313529391920639,0.10625015012999697,10
uniform,rw_mh,0.7,0.3901722573650777,0.2165287980920716,10
uniform,rw_mh,0.75,0.24684397866533647,0.30509069030840796,10
uniform,rw_mh,0.8,0.3050557943752703,0.22247132730804983,10
uniform,rw_mh,0.85,0.3156601436040493,0.2852710048483753,10
uniform,single_site_gibbs,0.4,0.057920167646005084,0.00974621661003102,10
uniform,single_site_gibbs,0.45,0.05634244565919375,0.010304282315616259,10
uniform,single_site_gibbs,0.5,0.053488423007919485,0.01160094048635088,10
uniform,single_site_gibbs,0.55,0.06308106421826999,0.015541481790998912,10
uniform,single_site_gibbs,0.6,0.06794237273347914,0.011893306685254589,10
uniform,single_site_gibbs,0.65,0.08838325013864418,0.023356719953536477,10
uniform,single_site_gibbs,0.7,0.06942527285271913,0.02187623285038827,10
uniform,single_site_gibbs,0.75,0.08980282724753444,0.025577026715906573,10
uniform,single_site_gibbs,0.8,0.08899490313049123,0.03763283358060184,10
uniform,single_site_gibbs,0.85,0.10897272006166929,0.04543620850928434,10
