observation_strategy,method,correlation,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,0.4,0.22804949998972007,0.0038447697679358317,10
deep,block_gibbs,0.45,0.23020820009405724,0.0032383461821680337,10
deep,block_gibbs,0.5,0.23116327470634132,0.004509221913160996,10
deep,block_gibbs,0.55,0.2332345708971843,0.006072476523037024,10
deep,block_gibbs,0.6,0.23424402069067582,0.006663567216097377,10
deep,block_gibbs,0.65,0.23558598309173248,0.01675283160885724,10
deep,block_gibbs,0.7,0.23615742909023538,0.017235702139704143,10
deep,block_gibbs,0.75,0.231119249999756,0.003711310011865746,10
deep,block_gibbs,0.8,0.2283825499995146,0.0029718575174414417,10
deep,block_gibbs,0.85,0.2297882957092952,0.006460112493043444,10
deep,rw_mh,0.4,0.004938091489020735,5.303443928014813e-05,10
deep,rw_mh,0.45,0.004914162593195215,5.909169360026162e-05,10
deep,rw_mh,0.5,0.004934458289062605,6.692769112701894e-05,10
deep,rw_mh,0.55,0.0051967082021292296,0.0008520352551352303,10
deep,rw_mh,0.6,0.005034883198095486,0.00014236385325377653,10
deep,rw_mh,0.65,0.005022954009473324,0.00017243416332969502,10
deep,rw_mh,0.7,0.004948862607125193,5.932382237301749e-05,10
deep,rw_mh,0.75,0.005048304004594684,0.0003418084485830974,10
deep,rw_mh,0.8,0.004931787506211549,6.825841248109223e-05,10
deep,rw_mh,0.85,0.004971104202559218,0.0001585326092408906,10
deep,single_site_gibbs,0.4,0.06254446259117685,0.0018710117190492742,10
deep,single_site_gibbs,0.45,0.0625320459890645,0.0005300555210985153,10
deep,single_site_gibbs,0.5,0.062083124602213505,0.00075747012425758,10
deep,single_site_gibbs,0.55,0.06590202518273144,0.007716287715648365,10
deep,single_site_gibbs,0.6,0.0629993042035494,0.0011412812209241183,10
deep,single_site_gibbs,0.65,0.06301941250567325,0.0007327505402259376,10
deep,single_site_gibbs,0.7,0.0628991290985141,0.0013049587005554886,10
deep,single_site_gibbs,0.75,0.062590641801944,0.0006865672899387318,10
deep,single_site_gibbs,0.8,0.06280748760327697,0.0009001462294231015,10
deep,single_site_gibbs,0.85,0.06231800829991698,0.0006500556850486782,10
shallow,block_gibbs,0.4,0.22680563330068254,0.003528566066017433,10
shallow,block_gibbs,0.45,0.2274144749098923,0.006308674243911664,10
shallow,block_gibbs,0.5,0.2302378126012627,0.017333245171373697,10
shallow,block_gibbs,0.55,0.245501520705875,0.042878185691977294,10
shallow,block_gibbs,0.6,0.2279635084036272,0.005690209844671767,10
shallow,block_gibbs,0.65,0.22596106659038923,0.003911344410498839,10
shallow,block_gibbs,0.7,0.22933672090875917,0.011204527395048321,10
shallow,block_gibbs,0.75,0.2266837294038851,0.00426516306776001,10
shallow,block_gibbs,0.8,0.22412247061147356,0.002828623956608337,10
shallow,block_gibbs,0.85,0.2269596041936893,0.010734109056143025,10
shallow,rw_mh,0.4,0.004962604003958404,7.601705757234876e-05,10
shallow,rw_mh,0.45,0.004936754010850563,5.27127295999617e-05,10
shallow,rw_mh,0.5,0.005009324802085757,0.00011812057637621181,10
shallow,rw_mh,0.55,0.005362375191180035,0.001227943085948422,10
shallow,rw_mh,0.6,0.004964141611708328,6.304560506905759e-05,10
shallow,rw_mh,0.65,0.004966637620236724,7.027798686273571e-05,10
shallow,rw_mh,0.7,0.004966187395621091,0.00010213161202111741,10
shallow,rw_mh,0.75,0.004998229211196303,0.00011810466678793387,10
shallow,rw_mh,0.8,0.004938124900218099,6.441110419203082e-05,10
shallow,rw_mh,0.85,0.004911366500891745,3.855278150823884e-05,10
shallow,single_site_gibbs,0.4,0.0622090625052806,0.0009109681722184232,10
shallow,single_site_gibbs,0.45,0.06302067919750698,0.0022845523618711585,10
shallow,single_site_gibbs,0.5,0.061995408509392294,0.0006044889968959878,10
shallow,single_site_gibbs,0.55,0.06283772520255297,0.0006588180663686147,10
shallow,single_site_gibbs,0.6,0.06401991250459105,0.005320722944417399,10
shallow,single_site_gibbs,0.65,0.06278844170155935,0.0008053771410727777,10
shallow,single_site_gibbs,0.7,0.06394024150213226,0.004355281406423714,10
shallow,single_site_gibbs,0.75,0.0646640332939569,0.006012993799567659,10
shallow,single_site_gibbs,0.8,0.0627321748121176,0.0011009554097032935,10
shallow,single_site_gibbs,0.85,0.06223443750641309,0.0006852350519791679,10
uniform,block_gibbs,0.4,0.23046189589658753,0.014343054916024427,10
uniform,block_gibbs,0.45,0.2266652751073707,0.003375095181401017,10
uniform,block_gibbs,0.5,0.23831151659833266,0.03455023437136994,10
uniform,block_gibbs,0.55,0.24116232500527984,0.038525095335538335,10
uniform,block_gibbs,0.6,0.2316816332982853,0.00741228012489228,10
uniform,block_gibbs,0.65,0.22897345820092596,0.007898532941643003,10
uniform,block_gibbs,0.7,0.22837546649971047,0.0068010837617887435,10
uniform,block_gibbs,0.75,0.24401967890444212,0.04637421494143267,10
uniform,block_gibbs,0.8,0.24032678299117832,0.046128258600721006,10
uniform,block_gibbs,0.85,0.22740373759297655,0.005827541269021002,10
uniform,rw_mh,0.4,0.004939649807056412,5.608325044768502e-05,10
uniform,rw_mh,0.45,0.004968662606552243,0.00010287577862646015,10
uniform,rw_mh,0.5,0.004930325108580292,4.138438762439953e-05,10
uniform,rw_mh,0.55,0.004986166791059077,7.8509782373627e-05,10
uniform,rw_mh,0.6,0.005853516707429662,0.002920430208300233,10
uniform,rw_mh,0.65,0.005002729204716161,0.00010668262588077556,10
uniform,rw_mh,0.7,0.005269958503777161,0.0009422170474618315,10
uniform,rw_mh,0.75,0.0054237875912804155,0.0015759961889477328,10
uniform,rw_mh,0.8,0.0049897540069650855,0.00023316204435903722,10
uniform,rw_mh,0.85,0.004948924895143136,8.797788768353468e-05,10
uniform,single_site_gibbs,0.4,0.062080041685840116,0.0005934431967917128,10
uniform,single_site_gibbs,0.45,0.0624746875022538,0.0012438497145531202,10
uniform,single_site_gibbs,0.5,0.06200639149174094,0.0007278936735033788,10
uniform,single_site_gibbs,0.55,0.06277283759554848,0.0019062144797882693,10
uniform,single_site_gibbs,0.6,0.06407688749604859,0.004686632711662965,10
uniform,single_site_gibbs,0.65,0.0627193083113525,0.0010284443054455379,10
uniform,single_site_gibbs,0.7,0.06318913319846615,0.0025911596189835545,10
uniform,single_site_gibbs,0.75,0.06437017500866205,0.006400122327236015,10
uniform,single_site_gibbs,0.8,0.06258035398786888,0.0007398447485876028,10
uniform,single_site_gibbs,0.85,0.06289997889543883,0.0020759908745094863,10
