observation_strategy,method,correlation,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,0.4,0.0715222233019126,0.015350308889467298,10
deep,block_gibbs,0.45,0.07548347615705135,0.011167088544613202,10
deep,block_gibbs,0.5,0.07259732605652515,0.01686550721792102,10
deep,block_gibbs,0.55,0.08969182395127197,0.01688399730901106,10
deep,block_gibbs,0.6,0.08237170504997057,0.013138862778878822,10
deep,block_gibbs,0.65,0.09072455297240398,0.020005096576659172,10
deep,block_gibbs,0.7,0.10267608948933522,0.020665680910268873,10
deep,block_gibbs,0.75,0.14161168434042837,0.035904973801978525,10
deep,block_gibbs,0.8,0.15657437346177447,0.06876791804225901,10
deep,block_gibbs,0.85,0.15661760352214638,0.1469790141011923,10
deep,rw_mh,0.4,0.4208595418466666,0.058679519560604965,10
deep,rw_mh,0.45,0.6921984799305528,0.15789448913742107,10
deep,rw_mh,0.5,0.582874624756945,0.14623116930556612,10
deep,rw_mh,0.55,0.8021865505098276,0.261587095945677,10
deep,rw_mh,0.6,0.7630532772502733,0.12701408870689848,10
deep,rw_mh,0.65,0.9904276743138671,0.2723625865454611,10
deep,rw_mh,0.7,1.0775307835040424,0.2523202577972592,10
deep,rw_mh,0.75,1.490429293751502,0.3771992068105464,10
deep,rw_mh,0.8,1.5328663043347677,0.31462184706600754,10
deep,rw_mh,0.85,1.4848140338683347,0.37580156996940706,10
deep,single_site_gibbs,0.4,0.06803298564496357,0.01019518065165764,10
deep,single_site_gibbs,0.45,0.07592984739858576,0.011209458458618761,10
deep,single_site_gibbs,0.5,0.07882909194350962,0.013225778904795454,10
deep,single_site_gibbs,0.55,0.08126895151954655,0.009313027439139641,10
deep,single_site_gibbs,0.6,0.0808422156500376,0.020689486365891168,10
deep,single_site_gibbs,0.65,0.08931215291465916,0.013703912989716169,10
deep,single_site_gibbs,0.7,0.11532188899257934,0.028936966911454445,10
deep,single_site_gibbs,0.75,0.1726452784801309,0.08284294795411312,10
deep,single_site_gibbs,0.8,0.1601627425976943,0.07600593548495446,10
deep,single_site_gibbs,0.85,0.14319075547115137,0.056923309776219656,10
shallow,block_gibbs,0.4,0.07005728373977313,0.010648365928645771,10
shallow,block_gibbs,0.45,0.08048319697007204,0.011069383371549142,10
shallow,block_gibbs,0.5,0.08258324201115762,0.013623386521521522,10
shallow,block_gibbs,0.55,0.09644336984630361,0.022292555472384998,10
shallow,block_gibbs,0.6,0.0955051137631379,0.020357064065195943,10
shallow,block_gibbs,0.65,0.10448952165864098,0.019185039611058777,10
shallow,block_gibbs,0.7,0.1581538409569454,0.06360202224498664,10
shallow,block_gibbs,0.75,0.19099628480756586,0.07909563468553635,10
shallow,block_gibbs,0.8,0.19208612062711455,0.06949423379085766,10
shallow,block_gibbs,0.85,0.2407591487527078,0.12425651724346991,10
shallow,rw_mh,0.4,0.5151324722011783,0.10700293535894564,10
shallow,rw_mh,0.45,0.5567030578459458,0.10701798794667772,10
shallow,rw_mh,0.5,0.6608201433796925,0.174383702600411,10
shallow,rw_mh,0.55,0.7141183604377417,0.13656023947192078,10
shallow,rw_mh,0.6,0.9026314083402006,0.3281059177655456,10
shallow,rw_mh,0.65,0.9140928016953328,0.1177878979838508,10
shallow,rw_mh,0.7,1.2262198781395992,0.4204006488754692,10
shallow,rw_mh,0.75,1.3684675873346195,0.20114917631982512,10
shallow,rw_mh,0.8,1.6946716308042458,0.302637762832515,10
