observation_strategy,method,correlation,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,0.7,1.6162325378425717,0.3965579241231035,10
deep,block_gibbs,0.75,2.2623793419813687,1.0615508598663217,10
deep,block_gibbs,0.8,2.5318355721115884,1.345588687295598,10
deep,block_gibbs,0.85,2.4570969427170586,0.9861529404371836,10
deep,block_gibbs,0.9,3.0645077055169443,1.3144216642821047,10
deep,block_gibbs,0.95,3.1988266213589682,1.66545186446347,10
deep,block_gibbs,1.0,9.52577801447298,15.033237377929526,10
deep,block_gibbs,1.05,4.956034118628796,2.298145430138912,10
deep,block_gibbs,1.1,5.353357767501062,3.0087564721518993,10
deep,block_gibbs,1.15,4.862306425335261,3.6804426180533603,10
deep,block_gibbs,1.2,7.463610066601012,6.831038595918524,10
deep,block_gibbs,1.25,9.670951577758206,4.351325567147466,10
deep,rw_mh,0.7,11.767044408423798,2.13906496020921,10
deep,rw_mh,0.75,16.871911915735772,4.467804874381847,10
deep,rw_mh,0.8,18.335930055678126,7.7401143957074785,10
deep,rw_mh,0.85,19.7794387784559,9.138865652096154,10
deep,rw_mh,0.9,24.325441483241683,7.131341725692169,10
deep,rw_mh,0.95,21.095254188662437,6.450827153546034,10
deep,rw_mh,1.0,34.034592972548225,14.493346399830992,10
deep,rw_mh,1.05,27.644088434195538,11.52755252450398,10
deep,rw_mh,1.1,35.187956563353914,10.874090687075235,10
deep,rw_mh,1.15,29.501629093646734,12.380255944653166,10
deep,rw_mh,1.2,44.02207023574151,23.58860373405231,10
deep,rw_mh,1.25,63.78978051329163,28.160572956760014,10
deep,single_site_gibbs,0.7,1.7524634416440115,0.3521995830844915,10
deep,single_site_gibbs,0.75,2.8502760768972135,1.1668891468728442,10
deep,single_site_gibbs,0.8,2.74810834690224,1.478868469701342,10
deep,single_site_gibbs,0.85,3.850428417891249,3.525893647322151,10
deep,single_site_gibbs,0.9,3.653517296267244,1.133108824948671,10
deep,single_site_gibbs,0.95,3.3121815496401497,1.9179471861037753,10
deep,single_site_gibbs,1.0,5.688582795375756,2.9825494157660524,10
deep,single_site_gibbs,1.05,4.248008944799314,2.4607810900378086,10
deep,single_site_gibbs,1.1,7.262185676517165,4.4448350795982705,10
deep,single_site_gibbs,1.15,5.577520848609267,4.271566395588816,10
deep,single_site_gibbs,1.2,9.781526031947353,9.519768209474037,10
deep,single_site_gibbs,1.25,11.964666923427737,8.69430073823159,10
shallow,block_gibbs,0.7,3.1480343801365605,1.284799054767306,10
shallow,block_gibbs,0.75,5.733786602264934,2.0109500417267316,10
shallow,block_gibbs,0.8,6.723648926262331,3.64496743086529,10
shallow,block_gibbs,0.85,10.027050196538449,5.94116844699835,10
shallow,block_gibbs,0.9,10.355754886927514,3.840838792913864,10
shallow,block_gibbs,0.95,9.068465338269991,5.627046137046916,10
shallow,block_gibbs,1.0,18.27901787060673,10.887276484705678,10
shallow,block_gibbs,1.05,24.109535399219514,14.413775423210675,10
shallow,block_gibbs,1.1,37.841521061398325,21.467659620775756,10
shallow,block_gibbs,1.15,32.44912633132155,25.58686858679851,10
shallow,block_gibbs,1.2,42.77451431570181,29.602072719396322,10
shallow,block_gibbs,1.25,73.12651450539826,56.58125130788805,10
shallow,rw_mh,0.7,19.07104555070281,3.802413558677849,10
shallow,rw_mh,0.75,27.771736893865217,5.696193193715927,10
shallow,rw_mh,0.8,31.379332036840907,9.332902675598651,10
shallow,rw_mh,0.85,41.331816799838414,14.859333498821387,10
shallow,rw_mh,0.9,47.70086328932508,12.447220211281788,10
