observation_strategy,method,correlation,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,0.7,426.7619386215533,62.021424956426436,10
deep,block_gibbs,0.75,361.8635905148816,78.1357985936149,10
deep,block_gibbs,0.8,349.14457023267687,98.12664125109123,10
deep,block_gibbs,0.85,319.78901722373155,87.63684693706391,10
deep,block_gibbs,0.9,264.4348588941322,58.462690872886256,10
deep,block_gibbs,0.95,331.24509879485913,64.69575097367178,10
deep,block_gibbs,1.0,217.684689161513,72.57013583489999,10
deep,block_gibbs,1.05,274.915760772984,79.91386852956359,10
deep,block_gibbs,1.1,233.0377906471878,85.81344471617102,10
deep,block_gibbs,1.15,267.98128703139207,90.46738082761517,10
deep,block_gibbs,1.2,245.71992871187408,103.5217490779881,10
deep,block_gibbs,1.25,190.62537970011073,68.73036785568495,10
deep,rw_mh,0.7,9.394758876602292,2.3795386278427246,10
deep,rw_mh,0.75,5.474286017394479,10.415854382424378,10
deep,rw_mh,0.8,14.304353231144066,14.411784383575899,10
deep,rw_mh,0.85,5.243207167301824,10.483154703078078,10
deep,rw_mh,0.9,1.794598569088994,1.461457791224276,10
deep,rw_mh,0.95,2.492453405731675,2.4457038957282893,10
deep,rw_mh,1.0,5.427261155178314,10.536396721755903,10
deep,rw_mh,1.05,7.990228736397955,14.035840439980456,10
deep,rw_mh,1.1,5.272608591677157,10.489510719267399,10
deep,rw_mh,1.15,11.91151899051836,22.252805076141467,10
deep,rw_mh,1.2,7.990228736397955,14.035840439980456,10
deep,rw_mh,1.25,4.661336886520097,10.52688032998534,10
deep,single_site_gibbs,0.7,366.54495160976995,45.63859207460015,10
deep,single_site_gibbs,0.75,285.4864828282497,66.07489987201376,10
deep,single_site_gibbs,0.8,292.34471878779414,71.6769677167708,10
deep,single_site_gibbs,0.85,258.54994245320074,66.90427108223624,10
deep,single_site_gibbs,0.9,211.61753195785042,63.800690773808796,10
deep,single_site_gibbs,0.95,248.8139742676663,43.39239386618191,10
deep,single_site_gibbs,1.0,180.64609874975963,46.10047433916588,10
deep,single_site_gibbs,1.05,188.092489993112,58.53217024898025,10
deep,single_site_gibbs,1.1,165.49894264833495,56.42823505943663,10
deep,single_site_gibbs,1.15,168.46306116325914,47.28393142512093,10
deep,single_site_gibbs,1.2,146.1744303616249,50.2716438631199,10
deep,single_site_gibbs,1.25,127.84125124558003,37.829169796817375,10
shallow,block_gibbs,0.7,275.4853426113372,36.86546838391684,10
shallow,block_gibbs,0.75,186.13218870905584,43.48916618990123,10
shallow,block_gibbs,0.8,189.2818176968507,72.55379808569121,10
shallow,block_gibbs,0.85,163.59344771050348,80.75096156782894,10
shallow,block_gibbs,0.9,126.83202086544563,43.91639590171425,10
shallow,block_gibbs,0.95,134.72798125213453,47.44915366056228,10
shallow,block_gibbs,1.0,103.60227433164107,30.729285055963466,10
shallow,block_gibbs,1.05,95.00664818894386,35.98852519509812,10
shallow,block_gibbs,1.1,66.5328120371977,41.223153077755306,10
shallow,block_gibbs,1.15,70.28131661390249,34.99845831315472,10
shallow,block_gibbs,1.2,62.844791707038894,22.684740690480464,10
shallow,block_gibbs,1.25,62.42637794475222,19.242301402539717,10
shallow,rw_mh,0.7,9.645224035471852,4.624200616312298,10
shallow,rw_mh,0.75,9.736841489146297,4.616551567760054,10
shallow,rw_mh,0.8,34.66230250297194,76.29343854460488,10
shallow,rw_mh,0.85,8.323867474909248,10.132091242100792,10
shallow,rw_mh,0.9,4.8568955485004945,3.69944830474629,10
