observation_strategy,method,correlation,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,0.7,0.06412075610718151,0.020283243721309255,10
deep,block_gibbs,0.75,0.08387309718485166,0.05017104169948829,10
deep,block_gibbs,0.8,0.07487080363451307,0.03837550539828291,10
deep,block_gibbs,0.85,0.12288525779974664,0.04842242198411118,10
deep,block_gibbs,0.9,0.10603916274008747,0.05730243287980758,10
deep,block_gibbs,0.95,0.11237645553863099,0.046260462271125534,10
deep,block_gibbs,1.0,0.15485265932271725,0.09841007747267141,10
deep,block_gibbs,1.05,0.13779527446072024,0.09117589593888487,10
deep,block_gibbs,1.1,0.12453402973457037,0.05831491018348317,10
deep,block_gibbs,1.15,0.18303081198142784,0.16713194434398765,10
deep,block_gibbs,1.2,0.38933900923488307,0.43666205650549694,10
deep,block_gibbs,1.25,0.24754202006172715,0.15081570113705745,10
deep,rw_mh,0.7,0.4605542374690629,0.12009112131416004,10
deep,rw_mh,0.75,0.04895525631705938,0.11257425230020034,10
deep,rw_mh,0.8,0.17509112829484533,0.2589303660149028,10
deep,rw_mh,0.85,0.0672345000924486,0.21261415763485683,10
deep,rw_mh,0.9,0.059331656502498886,0.18762317189856115,10
deep,rw_mh,0.95,0.15657906841679173,0.2573371220941432,10
deep,rw_mh,1.0,0.033725222423939286,0.10664851745532465,10
deep,rw_mh,1.05,4.601102202291948e-14,2.008374720368697e-14,10
deep,rw_mh,1.1,0.05668161104737505,0.17924299235732177,10
deep,rw_mh,1.15,0.03712500475926265,0.11739957318371451,10
deep,rw_mh,1.2,5.793482465915192e-14,2.9197155747660725e-14,10
deep,rw_mh,1.25,6.304829648707549e-14,3.3010664417059e-14,10
deep,single_site_gibbs,0.7,0.06391178219978852,0.019674373788649495,10
deep,single_site_gibbs,0.75,0.07967115716892834,0.05333700338528252,10
deep,single_site_gibbs,0.8,0.1123855181530671,0.11974012294489035,10
deep,single_site_gibbs,0.85,0.09108975646067449,0.036655237336569495,10
deep,single_site_gibbs,0.9,0.13907676618266063,0.11844075419907776,10
deep,single_site_gibbs,0.95,0.12230173289149375,0.04098826089419823,10
deep,single_site_gibbs,1.0,0.1364172246317062,0.05597376586635833,10
deep,single_site_gibbs,1.05,0.1391203472767973,0.06449278844765466,10
deep,single_site_gibbs,1.1,0.2064560520653703,0.16444594054485556,10
deep,single_site_gibbs,1.15,0.12383606273198977,0.05586372436760221,10
deep,single_site_gibbs,1.2,0.3003322642755716,0.22263459389300358,10
deep,single_site_gibbs,1.25,0.4226700339544468,0.29399533579969667,10
shallow,block_gibbs,0.7,0.11869085786225379,0.05282399398173675,10
shallow,block_gibbs,0.75,0.1300130442577831,0.04920102092623331,10
