observation_strategy,method,dimension,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,40,2.5907004916835055,0.8252665679527151,10
deep,block_gibbs,45,3.994846667864959,1.8733087952444325,10
deep,block_gibbs,50,3.625496569674971,1.6509385078456498,10
deep,block_gibbs,55,7.308157505537963,3.4898009079043986,10
deep,block_gibbs,60,8.490522683690239,5.665000899230006,10
deep,block_gibbs,65,10.518872783147202,3.9445536406900326,10
deep,block_gibbs,70,9.994581803049549,3.7160472771067288,10
deep,block_gibbs,75,12.506863942475938,6.46498604523881,10
deep,block_gibbs,80,14.238430164110795,10.339488079590295,10
deep,block_gibbs,85,18.207795306393365,9.356314718605534,10
deep,block_gibbs,90,24.647196309455715,9.780973083185737,10
deep,rw_mh,40,19.375603531184304,5.132883998854889,10
deep,rw_mh,45,24.1846324930378,6.83762464376452,10
deep,rw_mh,50,24.077895748985103,8.007548911293515,10
deep,rw_mh,55,39.27882748807632,14.537946029304612,10
deep,rw_mh,60,40.85143966093094,17.325365317524092,10
deep,rw_mh,65,51.13557955105684,16.326382480794837,10
deep,rw_mh,70,42.72901712466913,11.588801827673256,10
deep,rw_mh,75,56.01640030437899,14.015613943109841,10
deep,rw_mh,80,64.54244883752135,39.20018008988157,10
deep,rw_mh,85,69.29841055544868,18.64772311033058,10
deep,rw_mh,90,80.66230949171191,19.242202913080472,10
deep,single_site_gibbs,40,3.373253559963102,1.537315843628166,10
deep,single_site_gibbs,45,4.3550146140800186,2.6872822952264173,10
deep,single_site_gibbs,50,3.5336838305444815,0.808793473858413,10
deep,single_site_gibbs,55,7.719609612088081,3.615330779623514,10
deep,single_site_gibbs,60,8.915812946026941,3.2420366279876576,10
deep,single_site_gibbs,65,10.823681835039078,4.405399383634491,10
deep,single_site_gibbs,70,10.739693797460475,6.675526694309732,10
deep,single_site_gibbs,75,13.772320892544286,6.008645277280849,10
deep,single_site_gibbs,80,14.494438599603011,10.052866705903805,10
deep,single_site_gibbs,85,18.13737021453034,6.817158849197755,10
deep,single_site_gibbs,90,23.249898724594242,13.304869664627033,10
shallow,block_gibbs,40,10.337421255558572,5.678764555764033,10
shallow,block_gibbs,45,11.631141390728406,3.589695485534652,10
shallow,block_gibbs,50,24.924813871361003,10.197573772181247,10
shallow,block_gibbs,55,28.590547164778847,14.223742443146083,10
shallow,block_gibbs,60,41.21620279111715,25.916962291864966,10
shallow,block_gibbs,65,49.95085357797623,36.01059205402004,10
shallow,block_gibbs,70,53.990530888024104,25.17594451920929,10
shallow,block_gibbs,75,76.42684213318002,36.12315214595543,10
shallow,block_gibbs,80,98.4442771627471,39.99400290849981,10
shallow,block_gibbs,85,145.22964205441298,41.44013507873407,10
shallow,block_gibbs,90,157.1404559665071,34.77226645641177,10
shallow,rw_mh,40,42.54794309988832,8.625756711735407,10
shallow,rw_mh,45,57.13502246739656,17.080662377845478,10
shallow,rw_mh,50,75.20044605831988,17.251479298012754,10
shallow,rw_mh,55,93.35897389714525,31.251907570481933,10
shallow,rw_mh,60,104.5647041784637,29.57470803005201,10
shallow,rw_mh,65,128.43599348863228,45.02058044936469,10
shallow,rw_mh,70,152.7063514286221,34.949940692249115,10
shallow,rw_mh,75,187.59115722446978,49.99359397845302,10
shallow,rw_mh,80,220.56933463066616,51.30776666995497,10
shallow,rw_mh,85,285.04017311959353,53.85703694717721,10
shallow,rw_mh,90,341.8291495017655,56.163387768396426,10
shallow,single_site_gibbs,40,9.314409415525228,2.5600013324094917,10
shallow,single_site_gibbs,45,11.549214694995056,3.871848690250714,10
shallow,single_site_gibbs,50,19.169590386755623,6.467147991739206,10
shallow,single_site_gibbs,55,25.19097625601856,13.561753407940445,10
shallow,single_site_gibbs,60,31.074782793708987,14.463622545697925,10
shallow,single_site_gibbs,65,42.86611801845013,16.35329080442897,10
shallow,single_site_gibbs,70,57.32216039808757,20.800140324263932,10
shallow,single_site_gibbs,75,76.91928428042907,35.42406462734918,10
shallow,single_site_gibbs,80,97.49785010579812,33.209923230708156,10
shallow,single_site_gibbs,85,136.79931717908224,46.976884743424044,10
shallow,single_site_gibbs,90,177.87542986604166,54.49820837959663,10
uniform,block_gibbs,40,4.254573416249909,3.386895272115984,10
uniform,block_gibbs,45,5.744068280901918,3.7202580977694084,10
uniform,block_gibbs,50,10.616074524304839,6.95734188103792,10
uniform,block_gibbs,55,10.647712961091404,6.060386297940095,10
uniform,block_gibbs,60,14.141052129081086,8.511037880869303,10
uniform,block_gibbs,65,28.368554006411944,17.072843514510687,10
uniform,block_gibbs,70,25.60579720133594,11.468799832522205,10
uniform,block_gibbs,75,37.57883434050659,23.786401274080927,10
uniform,block_gibbs,80,46.530092460136856,22.492639384162445,10
uniform,block_gibbs,85,52.47809415585006,23.591021992057236,10
uniform,block_gibbs,90,82.7495596319075,34.408026666119056,10
uniform,rw_mh,40,26.280249304727857,12.939951406176,10
uniform,rw_mh,45,32.38070905044855,9.33628117700378,10
uniform,rw_mh,50,55.79185992076352,29.821703317967057,10
uniform,rw_mh,55,46.53832411636874,17.080969039487805,10
uniform,rw_mh,60,60.939656296263934,16.70599703777584,10
uniform,rw_mh,65,83.45777384539949,40.489884644581316,10
uniform,rw_mh,70,72.08587519837394,19.476951083376,10
uniform,rw_mh,75,113.82859141841934,32.30018596095944,10
uniform,rw_mh,80,121.9931653148461,37.48441257774086,10
uniform,rw_mh,85,152.59375124496017,46.664223862728385,10
uniform,rw_mh,90,184.54434571670154,36.325927417971194,10
uniform,single_site_gibbs,40,4.478480641833025,2.5386683548569375,10
uniform,single_site_gibbs,45,6.252489963181372,3.2481189372428267,10
uniform,single_site_gibbs,50,9.390431922715909,4.16486606983615,10
uniform,single_site_gibbs,55,11.443465080990308,8.592333294047046,10
uniform,single_site_gibbs,60,13.448987599847973,4.3479255349793045,10
uniform,single_site_gibbs,65,24.20002357641663,16.791741808619022,10
uniform,single_site_gibbs,70,18.114337687963687,6.676358585745362,10
uniform,single_site_gibbs,75,38.912253423288824,12.370630439892238,10
uniform,single_site_gibbs,80,55.02272031370128,33.49073012335272,10
uniform,single_site_gibbs,85,57.48890634712607,29.79818147430462,10
uniform,single_site_gibbs,90,81.68271215507261,34.486065578044276,10
