observation_strategy,method,dimension,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,40,302.7337959972246,72.26865282108703,10
deep,block_gibbs,45,295.36826339710444,77.77731868420953,10
deep,block_gibbs,50,305.7954038039349,58.435393411660705,10
deep,block_gibbs,55,235.94846648042866,55.32658094779057,10
deep,block_gibbs,60,229.5280391398729,63.41343274834771,10
deep,block_gibbs,65,195.58555677751474,50.41369377143542,10
deep,block_gibbs,70,241.4619005750275,59.305389258844755,10
deep,block_gibbs,75,217.75699808280496,45.337795784009145,10
deep,block_gibbs,80,202.43874124776187,57.61013214005711,10
deep,block_gibbs,85,199.16210101229677,51.99993129252319,10
deep,block_gibbs,90,177.91143379428019,42.41361025245449,10
deep,rw_mh,40,6.4358492643956025,10.301914848714251,10
deep,rw_mh,45,2.363171292581014,2.298395653757715,10
deep,rw_mh,50,3.960517549703705,8.31069499735685,10
deep,rw_mh,55,1.3324450366422385,0.0,10
deep,rw_mh,60,7.990228736397955,14.978871685663163,10
deep,rw_mh,65,7.446736189479121,13.756106650098825,10
deep,rw_mh,70,3.252959565417926,6.073200190376157,10
deep,rw_mh,75,4.899114875797087,7.519200235703817,10
deep,rw_mh,80,2.9968909615811676,5.26344016499267,10
deep,rw_mh,85,12.255371419053962,16.530287186683864,10
deep,rw_mh,90,2.8010737939412937,4.644211910287652,10
deep,single_site_gibbs,40,244.04725123164957,60.14665106739453,10
deep,single_site_gibbs,45,220.74108151812848,54.03919525736439,10
deep,single_site_gibbs,50,219.03488013379356,40.30401003499246,10
deep,single_site_gibbs,55,172.99927658132077,33.81596425485603,10
deep,single_site_gibbs,60,140.24698690778604,39.1109591658718,10
deep,single_site_gibbs,65,132.44442059319732,31.533174704196565,10
deep,single_site_gibbs,70,151.84708808736016,33.94043717259703,10
deep,single_site_gibbs,75,130.3941892561351,32.77771498426896,10
deep,single_site_gibbs,80,128.97866549417728,29.26682109925757,10
deep,single_site_gibbs,85,117.05414872361595,21.949800131507274,10
deep,single_site_gibbs,90,112.82494059947805,14.764230271772849,10
shallow,block_gibbs,40,135.99193993237913,60.20522759618544,10
shallow,block_gibbs,45,112.35784283592939,40.92345664751765,10
shallow,block_gibbs,50,92.38377187460574,32.91417712880045,10
shallow,block_gibbs,55,87.53279528668563,33.03469654730369,10
shallow,block_gibbs,60,64.89001079126781,20.082822756858114,10
shallow,block_gibbs,65,64.99526565748764,23.55582312845394,10
shallow,block_gibbs,70,54.20102976672398,22.415508935987106,10
shallow,block_gibbs,75,50.782196256123356,19.337458080837152,10
shallow,block_gibbs,80,40.05121621373728,7.67418972046649,10
shallow,block_gibbs,85,31.005859588886175,6.378386998557531,10
shallow,block_gibbs,90,32.48048055537549,7.069405887726226,10
shallow,rw_mh,40,3.6821798601624245,3.082271513665869,10
shallow,rw_mh,45,4.998042132539284,9.318023184372251,10
shallow,rw_mh,50,3.960517549703706,8.310694997356848,10
shallow,rw_mh,55,3.7682195609431104,7.702595363403908,10
