graph_type,method,repetition,dimension,depth,sparsity,correlation,observed_fraction,observation_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate
layered,single_site_gibbs,0,40,4,0.6,0.8,0.25,deep,10,30,0.13379783398704603,195.91266559916826,71.60641341115789,623.9384515646153,0.13487364805482885,0.35807257540744075,5.170714543140685,
layered,block_gibbs,0,40,4,0.6,0.8,0.25,deep,10,30,0.46013545902678743,208.31013673264644,78.05818906084922,770.4252754810803,0.11084217022505878,0.2718172181958801,4.156089950313969,
layered,rw_mh,0,40,4,0.6,0.8,0.25,deep,10,30,0.010191500012297183,8.05380122937481,2.7380999158692587,30.137963079066605,0.4045091248846168,2.2977973406329095,23.06119893864728,0.006
layered,single_site_gibbs,0,40,4,0.6,0.8,0.25,uniform,10,30,0.15110320801613852,240.88496871658245,84.18640695213506,643.735889000326,0.0683690996784674,0.10700032292884348,2.0449285891798654,
layered,block_gibbs,0,40,4,0.6,0.8,0.25,uniform,10,30,0.4517580839456059,260.70700065722986,86.41858401227427,589.456436030963,0.10690984654344866,0.12874289463798025,2.198990473887401,
layered,rw_mh,0,40,4,0.6,0.8,0.25,uniform,10,30,0.009993000014219433,1.332445036642239,1.3324450366422385,1.3324450366422385,2.94708025728294e-14,2.027203235331308,18.594805391884183,0.0
layered,single_site_gibbs,0,40,4,0.6,0.8,0.25,shallow,10,30,0.13379820802947506,121.69004628878193,40.93888672205981,418.52830982812,0.09179774363983492,0.6888784057286463,12.299684653484702,
layered,block_gibbs,0,40,4,0.6,0.8,0.25,shallow,10,30,0.4816083339974284,130.88117396774413,40.563191405370034,518.2615243953521,0.3149611927135331,0.6156746808466084,11.885149320684377,
layered,rw_mh,0,40,4,0.6,0.8,0.25,shallow,10,30,0.010337249957956374,1.332445036642239,1.3324450366422385,1.3324450366422385,9.121329954429926e-15,4.315218115084803,45.23320690326787,0.0
layered,single_site_gibbs,0,45,4,0.6,0.8,0.25,deep,11,34,0.15436433302238584,241.36889021973795,84.84021909110443,760.0245523319267,0.11062269269421297,0.16000407762127827,2.8449389053108236,
layered,block_gibbs,0,45,4,0.6,0.8,0.25,deep,11,34,0.5120132919983007,379.4079823619766,139.7206456529499,909.1487990584259,0.22402767697524337,0.19959319606498696,3.453911262868,
