observation_strategy,method,sparsity,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,0.4,3.1408564980495526,1.346692944349088,10
deep,block_gibbs,0.45,2.8379152074891545,1.5781158391507772,10
deep,block_gibbs,0.5,3.677786831196728,1.6769253043282888,10
deep,block_gibbs,0.55,3.554351741145292,2.5227676356202275,10
deep,block_gibbs,0.6,4.866738877778985,6.27938649675783,10
deep,block_gibbs,0.65,6.063157983521404,4.949402110725529,10
deep,block_gibbs,0.7,20.90854651413936,44.00999972370873,10
deep,block_gibbs,0.75,11.358974158888447,15.514702240667264,10
deep,rw_mh,0.4,22.515891936016956,6.993729415026546,10
deep,rw_mh,0.45,21.338096706773637,9.918511393617129,10
deep,rw_mh,0.5,27.80601839962403,9.248610584373832,10
deep,rw_mh,0.55,23.278614844084274,8.06685791666381,10
deep,rw_mh,0.6,26.454295362149725,13.081698555097764,10
deep,rw_mh,0.65,40.242732828702685,30.804969678824648,10
deep,rw_mh,0.7,48.03626887864275,54.194559389999455,10
deep,rw_mh,0.75,50.01368736143339,41.01948201320692,10
deep,single_site_gibbs,0.4,3.1628962898236637,1.8069004208649315,10
deep,single_site_gibbs,0.45,3.590325927020351,2.3755079791078852,10
deep,single_site_gibbs,0.5,4.294167458076346,2.1692912565857725,10
deep,single_site_gibbs,0.55,3.336082881076733,2.284435657235536,10
deep,single_site_gibbs,0.6,4.543236326815037,4.0541536306862875,10
deep,single_site_gibbs,0.65,7.128232639373498,5.942535916663425,10
deep,single_site_gibbs,0.7,7.692336581130958,7.733925389156624,10
deep,single_site_gibbs,0.75,13.909604217118835,18.004248259604818,10
shallow,block_gibbs,0.4,9.184809228682548,5.443240297703864,10
shallow,block_gibbs,0.45,14.03757552037126,7.193708730364551,10
shallow,block_gibbs,0.5,15.954488282386203,9.529123997951265,10
shallow,block_gibbs,0.55,19.18906617654917,12.931123815334306,10
shallow,block_gibbs,0.6,21.59930513713301,9.318750077423774,10
shallow,block_gibbs,0.65,30.053292223060488,14.643603956857481,10
shallow,block_gibbs,0.7,33.59872150155214,27.220582650318192,10
shallow,block_gibbs,0.75,44.95073756369391,21.961485029354886,10
shallow,rw_mh,0.4,43.20042216917636,13.648496100843701,10
shallow,rw_mh,0.45,57.7593856438945,12.442481944482893,10
shallow,rw_mh,0.5,64.95257765956872,20.698510482210455,10
shallow,rw_mh,0.55,70.43218549105791,25.625842833347058,10
shallow,rw_mh,0.6,93.3677155765167,33.1040081527219,10
shallow,rw_mh,0.65,114.05434575189186,27.703394508663983,10
shallow,rw_mh,0.7,106.9664879693515,38.39973977165206,10
shallow,rw_mh,0.75,137.52516141518637,36.09392855693486,10
shallow,single_site_gibbs,0.4,10.41065141935061,6.540449422227912,10
shallow,single_site_gibbs,0.45,16.514817235805594,7.084142326267182,10
shallow,single_site_gibbs,0.5,13.943864334363465,6.323870667162238,10
shallow,single_site_gibbs,0.55,15.226877492954893,8.556681540585698,10
shallow,single_site_gibbs,0.6,31.326646153447648,23.781444273466494,10
shallow,single_site_gibbs,0.65,45.38273106694355,25.490338270231206,10
shallow,single_site_gibbs,0.7,30.386343322161828,18.027676395222542,10
shallow,single_site_gibbs,0.75,49.78762053367332,22.01092851219307,10
uniform,block_gibbs,0.4,5.823537762393899,2.8064098740051815,10
uniform,block_gibbs,0.45,10.378718744436984,8.666713506995722,10
uniform,block_gibbs,0.5,7.5622019592465595,3.5319653900309333,10
uniform,block_gibbs,0.55,13.151904974345172,13.068554244091509,10
uniform,block_gibbs,0.6,7.835026364611406,2.7880160237371876,10
uniform,block_gibbs,0.65,14.736024922895897,13.24686665583501,10
uniform,block_gibbs,0.7,33.623730526902975,66.55256084485737,10
uniform,block_gibbs,0.75,18.059465215894736,13.383748492912382,10
uniform,rw_mh,0.4,31.52788433484818,11.519134443142033,10
uniform,rw_mh,0.45,48.828820656330855,25.863655753609034,10
uniform,rw_mh,0.5,43.70996004752192,15.124626438486573,10
uniform,rw_mh,0.55,62.38140239002272,37.721258761318474,10
uniform,rw_mh,0.6,46.7155355548757,14.013963071477079,10
uniform,rw_mh,0.65,57.94239946256217,32.36130071277563,10
uniform,rw_mh,0.7,59.25790036049737,51.70185818349394,10
uniform,rw_mh,0.75,73.95862614983731,36.769714056143,10
uniform,single_site_gibbs,0.4,5.530564940998477,3.5277555085972794,10
uniform,single_site_gibbs,0.45,13.91156415402042,13.77658113158726,10
uniform,single_site_gibbs,0.5,9.316336569840814,4.714268876392319,10
uniform,single_site_gibbs,0.55,14.96947360331431,9.111421991716599,10
uniform,single_site_gibbs,0.6,8.73217600414839,2.085055593660983,10
uniform,single_site_gibbs,0.65,11.865893319357308,6.021445665171273,10
uniform,single_site_gibbs,0.7,16.535916530974315,24.296672958276307,10
uniform,single_site_gibbs,0.75,20.121888115985563,16.232663511767637,10
