observation_strategy,method,sparsity,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,0.4,0.09724088865976917,0.06226453450381079,10
deep,block_gibbs,0.45,0.09758556229364025,0.06738140919530398,10
deep,block_gibbs,0.5,0.11019532882302081,0.04206403062128615,10
deep,block_gibbs,0.55,0.08416972812395114,0.029630686182503543,10
deep,block_gibbs,0.6,0.13178003632619972,0.08928696728509584,10
deep,block_gibbs,0.65,0.17988315181599657,0.14910604420847323,10
deep,block_gibbs,0.7,0.19042684103960122,0.12787742194656038,10
deep,block_gibbs,0.75,0.3030681706780299,0.38363097295427373,10
deep,rw_mh,0.4,0.08963806984621839,0.28346046577522765,10
deep,rw_mh,0.45,0.054228284925893544,0.1714848939702837,10
deep,rw_mh,0.5,0.0902312320872986,0.1936214553892178,10
deep,rw_mh,0.55,3.786202531874819e-14,9.23973054108949e-15,10
deep,rw_mh,0.6,0.04778406456196911,0.1511064798762394,10
deep,rw_mh,0.65,4.74840699226739e-14,3.106943317698417e-14,10
deep,rw_mh,0.7,6.43294533728236e-14,2.1084632002634312e-14,10
deep,rw_mh,0.75,6.225930278821513e-14,3.99289091607023e-14,10
deep,single_site_gibbs,0.4,0.13899759143154883,0.07384128590503632,10
deep,single_site_gibbs,0.45,0.14190277250498767,0.09094304967834495,10
deep,single_site_gibbs,0.5,0.12319209575274084,0.09036678296024911,10
deep,single_site_gibbs,0.55,0.09441429005670518,0.04019098628418512,10
deep,single_site_gibbs,0.6,0.20605456327041685,0.26498076384186475,10
deep,single_site_gibbs,0.65,0.16299664764046334,0.07585738939631054,10
deep,single_site_gibbs,0.7,0.22073061143486314,0.11796445864621803,10
deep,single_site_gibbs,0.75,0.18713615004082837,0.145960423650664,10
shallow,block_gibbs,0.4,0.2338112256146366,0.17786875331755564,10
shallow,block_gibbs,0.45,0.3204867862194062,0.15824468173630707,10
shallow,block_gibbs,0.5,0.27557194973109755,0.1058804431591024,10
shallow,block_gibbs,0.55,0.26156450293680905,0.0862233164456043,10
shallow,block_gibbs,0.6,0.5004329008326134,0.2327134643256967,10
shallow,block_gibbs,0.65,0.5081397187042747,0.24940417251085814,10
shallow,block_gibbs,0.7,0.4681795269452234,0.22494699200616305,10
shallow,block_gibbs,0.75,0.7876872845994694,0.4711890068928703,10
shallow,rw_mh,0.4,0.18639673019443112,0.31549310953889376,10
shallow,rw_mh,0.45,0.13260336346386226,0.2827281183111697,10
shallow,rw_mh,0.5,0.0679236873589153,0.13651969909546102,10
shallow,rw_mh,0.55,0.021363189759707614,0.06755633772695166,10
shallow,rw_mh,0.6,5.353282736070862e-14,1.8631052396412928e-14,10
shallow,rw_mh,0.65,0.1031349773066768,0.21786697380329542,10
shallow,rw_mh,0.7,7.161436409441857e-14,3.8637403033622685e-14,10
shallow,rw_mh,0.75,7.239573178122485e-14,2.4570507035918118e-14,10
shallow,single_site_gibbs,0.4,0.27726440518834927,0.14869687333400444,10
shallow,single_site_gibbs,0.45,0.2949527361643521,0.14664723349835748,10
shallow,single_site_gibbs,0.5,0.3079060907372724,0.0910588302455801,10
shallow,single_site_gibbs,0.55,0.2987146790589496,0.11339906405929691,10
shallow,single_site_gibbs,0.6,0.5182332936394356,0.24038284224973172,10
shallow,single_site_gibbs,0.65,0.5304268719437093,0.3138858300300269,10
shallow,single_site_gibbs,0.7,0.44035530853144067,0.23778390132776353,10
shallow,single_site_gibbs,0.75,0.7428641923529835,0.38099550610143734,10
uniform,block_gibbs,0.4,0.13978115485228187,0.06719741997048939,10
uniform,block_gibbs,0.45,0.2595791712604941,0.2619420452879984,10
uniform,block_gibbs,0.5,0.17412036463591674,0.08046720439589412,10
uniform,block_gibbs,0.55,0.31032713307308846,0.20726372793320616,10
uniform,block_gibbs,0.6,0.19377388541459747,0.12424595922549089,10
uniform,block_gibbs,0.65,0.2973575268497348,0.26136945071729006,10
uniform,block_gibbs,0.7,0.3411908709434447,0.3672020719844635,10
uniform,block_gibbs,0.75,0.3186647043670624,0.15822777870264168,10
uniform,rw_mh,0.4,0.09447641943724916,0.16853235883629397,10
uniform,rw_mh,0.45,0.10761879672982974,0.1627547844710672,10
uniform,rw_mh,0.5,0.09288011650311512,0.19589912582103527,10
uniform,rw_mh,0.55,0.025060581369531133,0.0531433377471897,10
uniform,rw_mh,0.6,0.047623003693234404,0.08318377237879168,10
uniform,rw_mh,0.65,0.0056804509392461835,0.017963163104668663,10
uniform,rw_mh,0.7,4.779768852622376e-14,1.3107696707905077e-14,10
uniform,rw_mh,0.75,6.346960159571125e-14,2.39438196664278e-14,10
uniform,single_site_gibbs,0.4,0.13662586736126997,0.06704918651255098,10
uniform,single_site_gibbs,0.45,0.24816402610170374,0.17382193765052917,10
uniform,single_site_gibbs,0.5,0.198092578157805,0.10456700320477452,10
uniform,single_site_gibbs,0.55,0.23626088811325271,0.14717556974753815,10
uniform,single_site_gibbs,0.6,0.263827771700246,0.16064949182982055,10
uniform,single_site_gibbs,0.65,0.3689784008288163,0.38164079511888777,10
uniform,single_site_gibbs,0.7,0.25519524637928276,0.2717655116292508,10
uniform,single_site_gibbs,0.75,0.5361717532818193,0.4215236714203571,10
