observation_strategy,method,sparsity,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,0.4,0.45723745410796257,0.009061159740406747,10
deep,block_gibbs,0.45,0.4589480498980265,0.008388877328027058,10
deep,block_gibbs,0.5,0.4573143330984749,0.0077377259279261595,10
deep,block_gibbs,0.55,0.45723583750077523,0.008958059514713864,10
deep,block_gibbs,0.6,0.4554910085105803,0.007626374508606554,10
deep,block_gibbs,0.65,0.4557096375094261,0.009365122739916774,10
deep,block_gibbs,0.7,0.46296123338397593,0.01209330893737898,10
deep,block_gibbs,0.75,0.4584258167888038,0.007957715778419165,10
deep,rw_mh,0.4,0.009740445791976526,8.563752382173559e-05,10
deep,rw_mh,0.45,0.00978424169588834,0.00018926183983426534,10
deep,rw_mh,0.5,0.009775691700633615,0.0001597730375969635,10
deep,rw_mh,0.55,0.009741283307084814,0.00010920594521711418,10
deep,rw_mh,0.6,0.009721704199910164,0.00019230663656988098,10
deep,rw_mh,0.65,0.0097906332986895,0.00014497438072588156,10
deep,rw_mh,0.7,0.009834633499849588,0.00017182214175538705,10
deep,rw_mh,0.75,0.009735178994014859,0.00010531782129230047,10
deep,single_site_gibbs,0.4,0.12835194570361635,0.001898179263615648,10
deep,single_site_gibbs,0.45,0.12773055831203237,0.0013371494212145374,10
deep,single_site_gibbs,0.5,0.1273376458149869,0.001735404186367698,10
deep,single_site_gibbs,0.55,0.12752678740071133,0.0013383188153110227,10
deep,single_site_gibbs,0.6,0.12736812480725349,0.0016940216351655501,10
deep,single_site_gibbs,0.65,0.1270792998955585,0.001936654233592329,10
deep,single_site_gibbs,0.7,0.12828880820889027,0.0020582164649975833,10
deep,single_site_gibbs,0.75,0.12704126671305857,0.001815702302946127,10
shallow,block_gibbs,0.4,0.4493731792957988,0.006490758029825543,10
shallow,block_gibbs,0.45,0.4505119043053128,0.009180505281015479,10
shallow,block_gibbs,0.5,0.44927205410785975,0.009889875553160116,10
shallow,block_gibbs,0.55,0.44578863740316593,0.009643866332431732,10
shallow,block_gibbs,0.6,0.44583432900253683,0.007602930319638291,10
shallow,block_gibbs,0.65,0.45258382910396905,0.019313559574608938,10
shallow,block_gibbs,0.7,0.44912932489532975,0.007513289425518979,10
shallow,block_gibbs,0.75,0.44918369560618887,0.009471291800416119,10
shallow,rw_mh,0.4,0.009773962304461748,0.00017612086519216405,10
shallow,rw_mh,0.45,0.009792066598311066,0.00017666631487640047,10
shallow,rw_mh,0.5,0.009829749900382012,0.0002160591514009911,10
shallow,rw_mh,0.55,0.009739999804878607,0.0002052311565059834,10
shallow,rw_mh,0.6,0.009800225199433044,0.00019841248264319285,10
shallow,rw_mh,0.65,0.009859112597769126,0.0002967086141099337,10
shallow,rw_mh,0.7,0.009790262597380205,0.00019673540171531544,10
shallow,rw_mh,0.75,0.00974912930978462,0.00011012193753206312,10
shallow,single_site_gibbs,0.4,0.12721533342264593,0.0014145192830304937,10
shallow,single_site_gibbs,0.45,0.12740772910765372,0.002266770297654886,10
shallow,single_site_gibbs,0.5,0.1269383581005968,0.0015677452972464464,10
shallow,single_site_gibbs,0.55,0.1264074375096243,0.0011664350640959037,10
shallow,single_site_gibbs,0.6,0.12727955829468557,0.0021209027371555437,10
shallow,single_site_gibbs,0.65,0.12737129980232567,0.001402374731987047,10
shallow,single_site_gibbs,0.7,0.1279484667815268,0.0018815505667668664,10
shallow,single_site_gibbs,0.75,0.12708084170590156,0.0014851132044347104,10
uniform,block_gibbs,0.4,0.453492466598982,0.0075012899020329826,10
uniform,block_gibbs,0.45,0.4539693168830127,0.008103117743546466,10
uniform,block_gibbs,0.5,0.45291549589601343,0.008874782406813653,10
uniform,block_gibbs,0.55,0.4483245624869596,0.0064616199098895995,10
uniform,block_gibbs,0.6,0.4496990126033779,0.007498194866242566,10
uniform,block_gibbs,0.65,0.4548475039016921,0.007833544683569484,10
uniform,block_gibbs,0.7,0.4547395624918863,0.007789392948433355,10
uniform,block_gibbs,0.75,0.45025904580252246,0.005522204309207128,10
uniform,rw_mh,0.4,0.009757858095690608,9.443453640824277e-05,10
uniform,rw_mh,0.45,0.009819741401588544,0.0002635207177009047,10
uniform,rw_mh,0.5,0.009778795909369364,0.0001327074623774452,10
uniform,rw_mh,0.55,0.00975477900938131,0.00016925045828234376,10
uniform,rw_mh,0.6,0.009749233291950076,0.0001261127170721221,10
uniform,rw_mh,0.65,0.009808379091555252,0.000184792736295001,10
uniform,rw_mh,0.7,0.009896595706231892,0.00042916236978945185,10
uniform,rw_mh,0.75,0.009758046007482335,0.00012707796382808965,10
uniform,single_site_gibbs,0.4,0.12718370420625433,0.002100967598589702,10
uniform,single_site_gibbs,0.45,0.12694645841256716,0.0012807973749735337,10
uniform,single_site_gibbs,0.5,0.12879179589799605,0.004723976940697018,10
uniform,single_site_gibbs,0.55,0.12697682889993303,0.001155620096009845,10
uniform,single_site_gibbs,0.6,0.12664971229969524,0.0012733529843499773,10
uniform,single_site_gibbs,0.65,0.12794919159496204,0.0017385883531472973,10
uniform,single_site_gibbs,0.7,0.12835504590766506,0.002914473096368449,10
uniform,single_site_gibbs,0.75,0.12739762090495788,0.0014498737242331558,10
