observation_strategy,method,sparsity,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,0.4,0.1973324702183341,0.06845719605207075,10
deep,block_gibbs,0.45,0.18243961973062578,0.12287391741385853,10
deep,block_gibbs,0.5,0.22551028445747723,0.09762200557242989,10
deep,block_gibbs,0.55,0.24770406302617892,0.1769447807007394,10
deep,block_gibbs,0.6,0.40336821990717453,0.6293405834474078,10
deep,block_gibbs,0.65,0.5038597750994851,0.5636112868029526,10
deep,block_gibbs,0.7,1.6850336549370695,3.7417081068663727,10
deep,block_gibbs,0.75,1.0028988630383358,1.6896229450123812,10
deep,rw_mh,0.4,2.4892939519909882,0.6192344791656648,10
deep,rw_mh,0.45,2.321022466562574,0.9610429289719339,10
deep,rw_mh,0.5,2.9235311989813866,0.8037296773147217,10
deep,rw_mh,0.55,2.414720989492891,0.6095613436995825,10
deep,rw_mh,0.6,2.9015033269636774,1.2898202749518897,10
deep,rw_mh,0.65,4.3761614124136985,3.196350502118795,10
deep,rw_mh,0.7,4.775351567200191,4.798351738508749,10
deep,rw_mh,0.75,5.2061873001846335,4.356896045950709,10
deep,single_site_gibbs,0.4,0.19301021475020627,0.17985924980506074,10
deep,single_site_gibbs,0.45,0.24743652330438898,0.19413838799246377,10
deep,single_site_gibbs,0.5,0.29122254961385424,0.18195430911917904,10
deep,single_site_gibbs,0.55,0.19769548123331898,0.18251707784104723,10
deep,single_site_gibbs,0.6,0.32611810782625983,0.3290602256366647,10
deep,single_site_gibbs,0.65,0.5560136308112935,0.7011323829129357,10
deep,single_site_gibbs,0.7,0.5681724873801242,0.6941761261557805,10
deep,single_site_gibbs,0.75,1.1631226805351278,1.8453893296698516,10
shallow,block_gibbs,0.4,0.5602626712339196,0.3784394676721515,10
shallow,block_gibbs,0.45,0.8330424826796472,0.4557389410555695,10
shallow,block_gibbs,0.5,0.9794479946307509,0.6232024335739884,10
shallow,block_gibbs,0.55,1.0109012602792942,0.593327770628781,10
shallow,block_gibbs,0.6,1.5887697033693593,0.8322579556712764,10
shallow,block_gibbs,0.65,1.9773883211850012,1.201658158903944,10
shallow,block_gibbs,0.7,2.1134173088578354,1.7655827138786715,10
shallow,block_gibbs,0.75,3.1924657167027837,1.8928954867956183,10
shallow,rw_mh,0.4,4.309898679419694,1.169032842760826,10
shallow,rw_mh,0.45,5.705984839772922,1.0433255248071822,10
shallow,rw_mh,0.5,6.400902401137806,1.9670385808256436,10
shallow,rw_mh,0.55,6.749452700331372,1.8729181245309847,10
shallow,rw_mh,0.6,8.843211697585165,2.7627780722497723,10
shallow,rw_mh,0.65,10.90630046774599,2.3628189859466846,10
shallow,rw_mh,0.7,9.892129948143502,2.7589331629077387,10
shallow,rw_mh,0.75,12.814837289420336,3.1064760280696326,10
shallow,single_site_gibbs,0.4,0.6530822848325155,0.475259442722136,10
shallow,single_site_gibbs,0.45,1.082984105477718,0.48851778392775624,10
shallow,single_site_gibbs,0.5,0.8459965260809751,0.4381267371443216,10
shallow,single_site_gibbs,0.55,0.976003045308811,0.6503174928045836,10
shallow,single_site_gibbs,0.6,2.1501309263654305,1.627977725299472,10
shallow,single_site_gibbs,0.65,3.2752388107214623,2.1570881549053835,10
shallow,single_site_gibbs,0.7,2.0681917872476108,1.4040111878417227,10
shallow,single_site_gibbs,0.75,3.3378412163679307,1.8533592674055612,10
uniform,block_gibbs,0.4,0.39101528512778605,0.1814259915908896,10
uniform,block_gibbs,0.45,0.7194336782050876,0.6218178880565004,10
uniform,block_gibbs,0.5,0.467888161240571,0.1627185561933031,10
uniform,block_gibbs,0.55,0.8485614931409764,0.9537838836725263,10
uniform,block_gibbs,0.6,0.5251671573172796,0.24501879996182194,10
uniform,block_gibbs,0.65,1.1964288054697136,1.4490537759201592,10
uniform,block_gibbs,0.7,2.3635437153824808,4.576983446143159,10
uniform,block_gibbs,0.75,1.163722194621789,0.7871085374643205,10
uniform,rw_mh,0.4,3.2757984771343565,0.8003625779907894,10
uniform,rw_mh,0.45,4.765319756840847,2.207906771763493,10
uniform,rw_mh,0.5,4.274847006815666,1.247752196598332,10
uniform,rw_mh,0.55,5.955585633098258,3.034564902092836,10
uniform,rw_mh,0.6,4.8530778145717175,1.3190715547544936,10
uniform,rw_mh,0.65,5.894007963844098,3.4231398066708367,10
uniform,rw_mh,0.7,5.6210022225832486,4.05987514467524,10
uniform,rw_mh,0.75,7.4487864797931795,3.350046877943704,10
uniform,single_site_gibbs,0.4,0.38263897310978,0.2596980208562639,10
uniform,single_site_gibbs,0.45,0.9176280699610089,0.8329076379233487,10
uniform,single_site_gibbs,0.5,0.6236052648689878,0.33469454184114955,10
uniform,single_site_gibbs,0.55,0.9810644587953151,0.6098288767173008,10
uniform,single_site_gibbs,0.6,0.5566544007834203,0.1999587012777119,10
uniform,single_site_gibbs,0.65,0.7880653880176794,0.5338244459597085,10
uniform,single_site_gibbs,0.7,1.1912675737595648,1.7854432892978225,10
uniform,single_site_gibbs,0.75,1.4191623116147585,1.158544379665939,10
